city,team1,team2,toss_winner,toss_decision,venue,team1_last_5_scored,team1_last_5_conceded,team2_last_5_scored,team2_last_5_conceded,team1_win
Hyderabad,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,field,"Rajiv Gandhi International Stadium, Uppal",130.4,134.8,156.6,157.0,0
Mumbai,Rising Pune Supergiant,Delhi Capitals,Delhi Capitals,field,Dr DY Patil Sports Academy,132.0,130.0,127.4,138.2,0
Kolkata,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,field,Eden Gardens,148.4,146.2,142.8,142.6,1
Kochi,Kochi Tuskers Kerala,Chennai Super Kings,Kochi Tuskers Kerala,field,Nehru Stadium,164.33,165.0,166.8,151.2,1
Delhi,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Feroz Shah Kotla,136.6,139.0,142.6,139.6,0
Kolkata,Kolkata Knight Riders,Kochi Tuskers Kerala,Kolkata Knight Riders,field,Eden Gardens,138.8,136.0,157.0,156.5,0
Mumbai,Mumbai Indians,Rising Pune Supergiant,Rising Pune Supergiant,bat,Wankhede Stadium,150.8,147.2,150.33,150.0,1
Chandigarh,Punjab Kings,Rajasthan Royals,Rajasthan Royals,field,"Punjab Cricket Association Stadium, Mohali",167.4,167.8,133.0,133.2,1
Mumbai,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Wankhede Stadium,138.8,141.0,164.6,157.4,1
Kolkata,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Eden Gardens,137.0,135.8,138.4,148.8,0
Delhi,Delhi Capitals,Punjab Kings,Punjab Kings,field,Feroz Shah Kotla,144.4,150.2,171.6,161.6,1
Hyderabad,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,field,"Rajiv Gandhi International Stadium, Uppal",159.8,152.8,142.4,138.6,0
Jaipur,Rajasthan Royals,Kochi Tuskers Kerala,Rajasthan Royals,field,Sawai Mansingh Stadium,136.0,145.6,152.0,150.4,1
Chennai,Chennai Super Kings,Rising Pune Supergiant,Rising Pune Supergiant,field,"MA Chidambaram Stadium, Chepauk",162.2,161.0,142.25,143.5,1
Delhi,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Feroz Shah Kotla,163.8,161.6,156.2,166.6,0
Kochi,Kochi Tuskers Kerala,Sunrisers Hyderabad,Kochi Tuskers Kerala,field,Nehru Stadium,141.6,140.2,159.4,159.0,0
Mumbai,Rising Pune Supergiant,Chennai Super Kings,Rising Pune Supergiant,bat,Dr DY Patil Sports Academy,137.2,143.2,160.0,154.2,0
Delhi,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,field,Feroz Shah Kotla,176.8,174.0,141.0,140.2,0
Jaipur,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,field,Sawai Mansingh Stadium,130.0,140.0,157.0,146.6,1
Bangalore,Royal Challengers Bangalore,Rising Pune Supergiant,Rising Pune Supergiant,field,M Chinnaswamy Stadium,156.0,166.4,142.8,149.8,1
Kochi,Kochi Tuskers Kerala,Delhi Capitals,Delhi Capitals,bat,Nehru Stadium,126.8,135.8,172.8,173.2,0
Kolkata,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,field,Eden Gardens,138.0,135.6,173.6,168.8,1
Jaipur,Rajasthan Royals,Rising Pune Supergiant,Rajasthan Royals,field,Sawai Mansingh Stadium,118.6,128.6,143.6,156.4,1
Chennai,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk",151.4,143.8,154.4,141.2,1
Delhi,Delhi Capitals,Kochi Tuskers Kerala,Kochi Tuskers Kerala,field,Feroz Shah Kotla,166.2,159.6,113.8,130.8,0
Mumbai,Mumbai Indians,Punjab Kings,Punjab Kings,field,Wankhede Stadium,147.2,137.6,175.0,170.2,1
Hyderabad,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,field,"Rajiv Gandhi International Stadium, Uppal",148.6,145.8,130.0,127.6,0
Chennai,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,bat,"MA Chidambaram Stadium, Chepauk",147.8,140.6,115.6,125.2,1
Mumbai,Rising Pune Supergiant,Mumbai Indians,Rising Pune Supergiant,field,Dr DY Patil Sports Academy,134.8,147.2,142.6,128.0,0
Kochi,Kochi Tuskers Kerala,Kolkata Knight Riders,Kolkata Knight Riders,field,Nehru Stadium,115.0,132.6,146.8,141.2,1
Hyderabad,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,field,"Rajiv Gandhi International Stadium, Uppal",145.4,146.4,163.8,154.2,0
Bangalore,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,field,M Chinnaswamy Stadium,164.2,168.8,163.6,164.4,1
Mumbai,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Wankhede Stadium,149.8,132.2,153.4,148.8,1
